Sum,C,D,E,F,G,J,N,O,P,Q,R,S,T,fraud
293.9,2.178282947,2.760016097,-1.613286461,1.101303645,0.462887878,0.209558068,-1.023587549,-0.524239318,-0.332805395,0.570489912,-0.195655994,1.465909861,0.205606898,0
5.0,0.498627848,1.101301643,-0.264186466,-0.86179206,0.196087747,-0.040879607,0.077720843,0.88204693,0.113917701,-0.548243101,-0.322558613,-0.381455666,-0.056224114,0
89.99,-0.497803982,-0.666081204,0.941381256,-1.427434465,1.87379603,-1.162165005,1.794291956,-0.914571182,-0.614904865,0.222572035,-0.284340546,-0.3022871,0.045436465,0
0.89,0.664149164,-0.561489676,1.044490859,-0.540044774,1.271009592,-0.409501884,-0.148463861,-0.0769293,-0.247610646,-0.56686748,-0.521969156,0.819025244,0.066956898,0
0.052245584,-6.317172829,4.929016903,-2.211116473,-2.202498412,-5.641203596,-7.970585958,-12.80932051,-0.202177403,-6.288257312,-12.59186057,-3.789982797,1.006356763,1.1094437,1
1.857097239,-5.208547626,3.940777968,0.164002919,-1.323421359,-1.705950852,-3.307818354,-6.565874877,0.112461191,-2.45105258,-1.278435052,0.33762528,2.0562843,0.367289269,1
171.88,-1.120595734,-0.693892029,-1.773805847,-0.949352667,-1.323714448,-0.547431335,0.778995155,-0.452838871,1.368800238,1.157918311,-1.542186548,1.235689313,-0.801838039,0
2.37,-0.419982731,0.931213872,-0.326461666,0.251465622,-0.501467662,-0.196294515,1.326625709,-0.166780609,-0.821653217,0.920681389,-0.465726048,0.196593435,-0.259985268,0
10.59,-0.426412592,2.434945556,1.580498664,-0.026163552,1.185640702,2.24003483,-0.566475406,-1.657866748,0.842251219,-1.474157052,-0.155817363,-2.319405236,-0.95943473,0
13.53,1.97119411,0.400337309,0.530589482,-0.345958307,-0.370651634,-0.561435146,-0.185463607,-1.088845744,0.692654639,-0.880187969,0.74055658,-0.342691941,-0.461848681,0
144.07,0.94747474,-0.200829316,1.136620434,-0.957715208,1.265509667,-0.539180521,0.47661968,-0.481901277,-0.736344719,-0.346427582,0.70040279,0.659625825,0.523498128,0
4.0,1.71900527,-0.125915752,-2.125927225,0.350402092,-1.759927749,0.275268643,-0.949235208,-0.926516406,0.264157082,1.403503535,-1.676010473,0.520793988,-0.140867597,0
42.84523853,-13.73111842,7.702407415,-10.20119378,-3.52179737,-13.77440347,-13.43525443,-13.11785221,1.345437503,-11.07655542,-20.1472442,-7.694574912,3.551337148,-0.25957309,1
9.500599538,-14.66269091,6.941067973,-9.211239452,-0.632806587,-16.01017803,-12.45675961,-5.828785365,-2.205466451,-7.590390276,-12.59420343,-5.438316607,0.627608357,1.131899777,1
24.70946386,0.185203078,5.142790407,5.201949347,0.940686468,-0.634167932,3.99779708,-0.75003189,1.262502902,-0.85468589,-0.120149483,-0.606903345,1.054682787,-2.278261157,1
216.0,1.574056053,-0.082126552,-2.359097288,0.951892644,-1.785322536,0.311653555,-1.147819394,-2.16457446,0.901835336,0.698759096,-0.345729147,1.335756878,0.380667695,0
27.9,0.911643973,1.257163519,0.018384649,0.245336449,0.32618315,-0.350638789,0.266608424,0.180345641,-1.000814672,0.653358399,-0.546113319,0.847972,0.094417769,0
9.250848413,-8.793137488,7.615303486,-6.844465209,-2.830633462,-11.29355826,-12.03175317,-14.18624716,0.281677078,-12.94472544,-22.25597385,-8.740385851,3.974546544,0.887119988,1
10.0,-1.886926484,-4.52351145,-0.273773625,3.56899517,-2.473436756,2.743570405,-0.070852357,-0.083957229,0.155732835,0.648698431,-0.141629094,-1.200789805,0.678695282,0
258.99,-2.959668046,1.533847657,0.254570876,-0.321913878,1.628117578,-1.565702307,-3.426416569,1.325999559,0.969530454,2.879295236,1.319931808,-0.48889609,0.064357143,0
40.0,0.962142307,1.043425187,-0.027596526,-0.136629746,0.565327302,0.738010226,-0.062350254,1.483941595,-0.618838358,0.095207807,-0.525796228,0.303084177,0.076339557,0
69.01,0.740437351,-1.811649447,-0.835220343,-0.399098881,-0.201059787,1.55772388,-0.347369805,-0.892219574,-0.939894881,0.593565256,0.127024107,1.243326498,-0.088584246,0
373.52,-1.938627758,0.502468878,-0.039587623,-0.786244386,0.741857744,-0.184908401,0.335794278,0.781479659,0.032272837,-0.808250257,0.177898691,-0.119006552,0.588598107,0
255.72,-2.820392599,-0.935112933,0.063140525,-1.068076952,0.654900946,1.014602968,1.009716016,-0.854365967,-2.038406031,0.102415303,1.004586316,-0.326531954,-0.111209502,0
10.61339738,-2.710882362,2.323598715,0.474461159,-1.951148183,-0.652201278,-1.749827068,-6.038794802,0.18904702,-2.189941538,-3.533264618,-1.46377243,-0.27677888,-0.009994141,1
30.0,0.286725425,-2.985385942,-0.857876765,-0.376258731,-0.568806333,0.615345596,-0.046610961,-1.62237604,0.050771161,-0.011571915,0.66830495,-0.539963614,-0.533668783,0
113.35,1.343980404,-0.530960316,0.291909694,0.089285375,0.476781312,-1.059342984,-1.981639043,0.642200267,0.949334215,0.152270608,0.774544584,-0.663674826,0.509517837,0
88.41016804,-2.838168424,2.905076278,2.653467998,-4.21344273,-5.512575447,-3.868605579,-4.906061494,-0.89828539,-1.605277852,-4.327890638,-1.042382745,0.220338196,1.924938045,1
93.8,1.033126569,0.604371077,-1.015694408,-0.083453234,-0.598794336,-0.180386545,0.049899456,1.749022733,0.45028982,-0.280273606,-0.234729198,-0.813595277,0.035460132,0
9.99,-1.763674396,0.381060427,0.543542321,-0.772792503,0.238877839,-0.401566035,-0.986029621,0.143743168,0.331473322,0.37839882,-0.337688663,0.104613414,-0.090962079,0
1.0,-21.43148841,11.92636308,-7.99478447,-2.206087895,-15.49157831,-13.34352092,-14.47820068,-0.282717332,-8.258504797,-12.4310603,-4.836041601,0.751304056,1.002572057,1
15.17,-1.399973147,-2.073039821,-0.883824074,-1.548800405,-0.307687635,-0.084720346,-0.052800218,0.519737579,-2.515946204,0.117991104,1.226782274,-0.073820402,-0.541930851,0
152.96,-1.306702834,0.170998849,-0.24263585,-0.238491611,-0.041600511,-0.083221562,0.600256184,-0.721935196,-0.270522239,-0.223426338,-0.019258617,0.535926421,0.001528642,0
118.0,1.488396437,-3.25945473,0.001049644,0.306689895,0.133648158,1.468541938,-0.991002084,-1.075237722,-0.111985541,-0.367880238,0.658942424,-0.403367451,0.082141807,0
396.0,-4.030715498,0.08531905,0.934430618,-0.382939086,2.6717958,-1.404170238,-0.791720374,-0.490794344,-0.120712679,1.516473509,1.876451817,0.761761576,0.736149052,0
205.1220737,-1.216496669,2.963304887,-0.590002527,-0.553228835,0.242684384,-2.204653352,-2.813453913,-0.690037352,-2.247197967,-4.249685365,-2.217643168,-1.421883314,-0.296227021,1
22.89,1.851383234,2.420818161,0.09983428,0.415629245,0.515371816,0.261851414,0.287013308,-0.127188744,-0.401383859,0.432889769,-0.624803054,-0.110630785,-0.138652408,0
1.0,-7.052456446,6.674410675,0.16116642,-2.619020896,-2.28379109,-4.334986132,-8.717313443,-0.342179783,-1.91412175,-0.295509465,1.106672164,0.470228657,0.502914379,1
15.21,0.499559521,-2.208557377,-0.655111905,1.162843081,-1.303668087,-0.630232855,1.825935624,1.505338534,-2.868595292,1.700321598,0.444355195,-1.697841618,-0.652228467,0
6.566268599,-2.706719656,4.484675918,1.04966999,-0.977379351,0.168979514,-0.394614445,-3.638619858,-1.566357589,0.868463356,0.5900514,0.599851812,-1.419259018,-0.118746446,1
200.0,-0.048370268,0.035281544,0.131783227,5.43348663,-1.913606458,0.924760744,-0.947466284,-0.724592464,-1.881705921,0.781233149,1.675949565,-0.012256642,-0.299325673,0
34.2636234,0.655771828,0.006393298,-0.643842244,0.786524685,-0.863423391,-0.45569907,-0.999963504,-1.481717486,0.035585399,-0.563106085,0.189004555,1.181352868,0.044606502,1
133.0,-2.253905514,-2.037998669,-0.093765543,0.084847261,-0.564005784,1.783261464,0.155763395,-0.441110104,0.006678269,-0.321936292,0.603793137,0.70739888,-0.125221837,0
74.2,0.373114334,-0.696920324,-0.901694054,-0.223318758,-0.509807434,0.754857895,0.219875189,0.471893912,-1.289283285,-0.074597694,0.851338777,-0.852802667,-0.325343283,0
1.5,-0.695598792,-1.126849897,2.330580471,3.222900521,-0.107501357,-0.594853512,0.715014598,0.800726261,0.451994792,-0.687361456,0.342774944,0.327650749,-0.058257819,0
0.77,-1.039583718,-1.901374907,2.044169095,3.580912889,-0.829919185,-1.719343594,-0.616371597,0.770581447,0.733384391,0.627952581,0.366921254,-0.409061028,-0.093085498,0
1.0,-6.367604271,6.545939579,0.991001546,-3.019992579,-1.654492733,-6.131390593,-10.70811886,-0.93246617,-1.882095719,-1.37394041,0.378394362,-1.69374238,0.527796944,1
15.0,-0.427513173,-0.842293207,-0.347982477,-1.12341417,0.164945984,-0.955348256,0.61054417,0.902533406,-0.887307006,0.04831958,0.08160331,1.035677788,-0.206384967,0
34.04,-1.29583478,0.288789289,-0.066026428,-0.736541676,0.046648136,0.107837609,0.886039488,-0.302667817,0.038906327,-0.575126362,0.172904034,0.602101635,-0.283419831,0
1.0,-0.877136066,1.375273277,2.048877025,-0.75897529,1.069944704,-1.637083265,-3.529164002,1.664226926,0.467293961,3.02192461,1.399172118,0.254025496,0.127126463,0
69.99,0.989901834,-0.357931591,-0.451700515,-0.3417383,0.030969609,-0.823278071,1.064408942,-0.877700067,0.353704704,0.20811951,0.430128345,-0.590199169,0.015586847,0
0.0,-1.556157146,4.37648658,0.897299673,-0.829882784,0.510571446,0.187423368,-2.9478697,-1.290466157,1.140725394,1.851260936,0.205154128,-1.911099121,-0.193509038,0
21.89,0.032569192,0.49584971,-1.094719769,0.330072044,-1.259204221,1.125148707,-0.166632618,-0.152740504,-0.591411663,-0.926970476,2.285404908,-0.967566972,-0.608921171,0
1464.94,-1.191355453,1.200474329,-2.186582974,-0.863996008,1.988120669,-0.876957121,0.65348098,1.223892725,0.316293794,-0.091766652,-0.452636407,-0.422790097,2.884040659,0
13.48,-0.838367565,-1.200908755,0.839588439,-0.145617588,0.790653221,1.348365314,-0.679612908,-0.385314613,-0.053035286,-0.815250817,-0.739947816,0.039099316,0.59655686,0
99.39,1.176864628,1.699806086,-1.157291399,0.537475607,-0.803235505,-0.303951935,-0.5671488,-1.041477331,-0.255183794,0.122709208,0.236553219,0.214369736,-0.061962317,0
49.78,-0.709328296,-1.076386386,-0.829243404,0.165510256,-1.155051337,0.880556957,-0.051197138,-0.236058379,1.598324839,-0.178565515,-0.795780491,0.999876676,0.020559804,0
18.54,-1.852629466,0.325114946,0.476550163,-0.8687228,0.208379348,-0.335133932,-0.663868691,0.211257049,0.431080979,0.024056175,0.967203863,-0.07334445,-0.120394928,0
25.09699782,-19.00678301,7.563686163,-14.868595,-2.090295302,-19.76916407,-16.580961,-7.616242085,-0.105636599,-9.264684456,-19.29055734,-8.019828268,2.095933167,-0.023403444,1
282.0,-1.424020736,-1.00345339,-0.536126129,0.345962391,-0.553383934,0.755989387,-0.403780727,-0.54551025,1.59078904,-0.554184777,-0.545410336,1.185282048,0.621606636,0
7.079108279,-3.958008718,5.612203031,-3.078552893,-1.267064642,-5.768633957,-6.088030615,-8.374533354,0.771267456,-7.87000065,-14.54627741,-5.232425181,2.452763171,1.101552836,1
103.2,0.252582477,-2.663187856,-1.04012631,0.596524416,-0.903363874,-1.030562607,0.066388085,2.368401478,-3.951087964,1.695687067,-0.597071561,-1.277720361,-0.464711633,0
25.83,0.468571767,1.720566256,0.125926889,0.67808131,-0.161450045,0.302880306,-0.505736458,-0.606601238,0.081484362,-0.133619223,-1.054922548,-0.377566239,-0.016179057,0
1.98,-1.570683152,2.829806523,9.649433773,-6.808191323,-5.845104984,-0.662497027,0.181273166,-0.438417819,0.79550313,0.380895736,0.73805928,-0.005749516,3.570758613,0
258.99,-2.404110219,1.810623868,-0.079537972,-1.29448839,1.425314359,-1.488342885,-3.075155545,0.290783739,1.127153803,2.76793204,2.021695214,-0.271396676,0.584179383,0
10.0,1.389418947,0.868138431,-1.100526378,1.451349322,-1.366997894,0.35059431,-1.409889529,-1.60936191,-2.177974874,0.519182258,0.706273378,-0.573390398,-0.516299131,0
16.9,1.074689123,0.893457837,-0.197328697,0.779488432,-0.213446014,-0.506177643,0.241216841,-1.580424303,-0.567467262,0.438178681,-0.215134849,1.497412944,0.132432819,0
1.98,0.1931535,0.496248363,-0.123815991,-0.54991744,-0.002233947,-0.122434582,-0.172035637,0.384225148,0.757932998,-0.394943128,0.267465106,0.214813689,-0.038778627,0
133.9625342,-11.75261349,7.925325449,-9.656006113,-2.667757315,-12.13827771,-12.57280228,-12.1459961,0.245748584,-11.39072634,-22.17792942,-8.708343912,2.610511929,-0.28414966,1
27.84,1.099839628,0.875331422,-0.034666566,0.097514853,-0.557972524,-0.071917659,0.471318727,0.749002534,0.679372913,-0.78788369,1.237231883,0.450185104,0.224065935,0
114.02,0.801534275,0.179343508,-0.002491627,-0.51443471,0.811904607,-0.965507333,0.736869799,0.524991404,0.071627538,-0.21369249,-0.34415707,-1.302743965,-0.051130777,0
0.0,1.909610464,2.583809502,0.606477397,0.411204476,0.905653507,1.710696252,-0.554144661,1.439924676,-0.626456475,-0.067710884,-0.630691055,0.435101871,0.226493252,0
3.0,-0.845791258,1.014485834,0.392996293,0.324368716,-0.147915386,0.284659132,0.1279479,-0.745417543,0.382724883,-0.96948926,-0.070736643,0.364779463,-0.167950933,0
22.65,2.348544857,-0.372910115,0.353015506,-0.232999683,0.651904386,-0.200811485,-0.942595872,0.402395637,-0.246037026,-0.487251614,-0.035753015,0.197445499,0.146823515,0
147.5,-1.570994104,-0.508880747,0.124091173,0.936229944,-0.409420018,0.738655993,0.424566551,0.478157245,-2.43821353,0.316847782,0.493893828,-1.746295042,-0.413594826,0
67.45,0.607964323,-1.356847589,0.792330368,-0.397420806,0.99816746,-0.142226571,0.455292863,-0.245485054,0.809286104,-1.077928998,0.04625264,0.481171712,0.244511447,0
43.2,-1.30934192,0.319921833,0.435563096,0.363142583,-0.019237611,-0.087314653,0.45084367,0.661931297,-1.161017716,0.72517045,-2.253485291,-0.940613174,-0.284343348,0
0.01,1.056225118,1.215621043,-0.771368906,0.08785605,-0.630626174,-0.176467642,-0.257358839,0.291800009,0.265579197,-0.404398622,0.195065952,-0.001320916,-0.179643014,0
21.99,-0.50792349,-0.885086669,0.568060198,-0.251581536,0.567336267,-0.469805323,0.632321383,-1.030257732,0.541913687,-0.843721454,0.16610341,0.582912507,-0.085323957,0
1.0,0.539705237,-0.913200674,-0.883994266,-0.366863926,-0.653552809,-1.051306819,-0.014124632,1.435513819,-0.15413328,-0.396858078,0.575581851,0.878607633,-0.158107986,0
0.01,-0.077778163,-0.108495007,0.616579048,-0.088735608,0.104411008,0.833755765,0.979895944,-3.120009145,-0.560131803,0.779350536,-0.330515498,0.633295253,-0.728626486,0
57.25879622,-5.573946874,2.483242716,0.248346341,-1.860273827,-5.504685231,-4.755952038,-3.712346444,-0.937215848,-3.818578188,-8.910009967,-2.810299895,0.818280328,-0.398914142,1
1.0,-6.398075409,6.039404927,0.925531157,-2.410296861,-1.99014723,-5.857869159,-10.13643716,-1.131920739,-1.897887675,-2.153640761,0.58843872,-0.854890276,0.576768864,1
324.4712958,-7.982237408,7.643264958,-7.162541731,-1.806975059,-8.508384881,-11.25862653,-13.60874457,0.546808194,-13.37932643,-23.58776078,-9.053991722,3.613319018,1.54609929,1
10.0,2.009022226,0.518015693,0.105127765,-0.169876622,0.415298257,-1.114335167,0.926575964,-1.267849589,-0.953201422,1.164807146,-0.832776915,-0.342222358,-0.032434343,0
24.99,0.839680619,-0.863657514,-1.099304547,0.263461514,-1.180611116,0.720883495,-0.284830394,0.66716287,1.46991688,-0.048032346,-0.724866676,0.272145234,0.121526341,0
60.0,-2.282933939,0.803789106,1.638306505,1.03989235,0.472228539,0.372116114,1.089813142,0.390966818,-0.994375061,0.032588666,-1.176704012,-1.091626941,-0.226773198,0
18.74,-1.245321236,0.235202129,0.185524505,-0.495864806,0.098368443,0.054309884,0.534280938,-0.48438434,-0.130182551,-0.564217049,-0.137421781,0.463768984,-0.181500884,0
1354.25,-3.018758033,3.289291475,-5.755542374,2.218276303,-0.509995432,-4.320535776,-4.857776672,0.090605522,-2.80150199,-4.186807537,-1.648406094,1.176445598,-0.447039407,1
1.0,-11.64514034,4.784415324,-8.311860302,-1.618821825,-12.76592407,-11.48293359,-7.684472274,0.194478822,-7.555868072,-13.28350868,-5.971061771,1.024205686,0.047944492,1
10.0,0.949918881,-1.645345445,-0.244428675,-1.18914871,0.606117443,0.573366822,-0.358158751,-0.823822841,0.63973992,0.270977357,-1.456665193,0.178203947,0.085148238,0
11.52,-0.312653361,0.934587571,1.308633075,-0.023974791,1.004934311,-0.287199277,2.414112887,-0.620509689,-0.8265586,0.785707211,0.519228006,0.841080002,-0.107174288,0
11.32,-0.098241049,2.492514405,1.63632099,2.072973028,0.281235077,0.493850824,0.860390703,0.482996938,-0.050426967,0.297373659,-1.767078043,-3.48577739,-0.520494043,0
5.99,-0.274545127,-0.713208941,-0.012816747,-0.209297444,-0.698109451,-0.582494893,0.556800316,-0.468216954,0.031133463,0.112763952,-0.731154749,-0.17513403,-1.106907714,0
10.22,0.459482064,-0.208647201,-0.564118504,0.202682363,-0.499862593,-0.741389604,1.523846558,0.607265893,-0.020638153,0.567990673,-0.350628488,-0.417257183,-0.34686719,0
181.78,-0.527186809,0.951202635,0.349275753,-0.379758165,1.853749091,0.914044814,0.534919607,-0.849749973,-1.004962968,-0.086201363,0.115374949,0.952347089,0.260791663,0
62.0,0.529752479,-0.210276212,0.381230184,0.845320678,-0.012135727,0.67041273,-0.019525894,1.600757872,-1.463221782,2.310602757,-2.868296057,2.534677389,0.348258008,0
340.0,-0.534973577,1.526034902,-1.032199591,-0.203121537,-0.21214279,0.274832873,0.525482287,0.245655625,0.730584488,-0.925628577,1.028938169,-0.606431655,0.358256673,0
1.0,-0.406403845,-0.182116716,1.826934907,-1.962407784,0.785379063,-1.994813795,-2.35658745,0.876310411,0.745872926,1.810866958,1.53055331,-0.828346137,0.047293917,0
152.0,-1.502254968,-1.552346221,-1.169731604,-1.13315423,-0.532533105,1.801074779,0.473393553,-0.434693604,-0.469935006,0.366631113,0.114245416,0.054958273,-0.237543154,0
0.76,-1.942309662,0.053945771,0.416899469,-1.695236404,0.751522554,-0.006982707,0.717665058,0.437361912,-0.646024022,-0.240072739,-0.689703975,0.032657195,-0.234376184,0
73.04,-1.635980904,-1.176035215,-0.073735936,-0.41212124,-0.289237248,0.930402644,0.021957125,-0.613127473,1.370024918,-0.430214712,-1.056974429,1.421706596,0.163331713,0
0.76,-3.210347009,-1.307534378,4.035945735,3.020160958,-0.261803051,-2.01716975,-1.944267497,-0.054843148,0.376347269,2.179110023,0.565320404,-0.741689715,0.560783637,0
15.99,-1.754796506,0.422952975,0.369462915,-0.860984639,0.159322701,-0.36567287,-0.715337373,0.282057634,0.364286552,0.491545016,-0.207792811,0.072846108,-0.166800353,0
408.0,-0.281678486,-0.669972495,2.065553016,-2.221541972,-1.005483744,-0.692563458,0.416258407,-0.003210671,0.573704526,-1.063951891,1.231548717,0.113827379,1.572632696,0
6.99,1.326890132,-0.205327538,0.083348618,-0.442472512,0.498357507,0.11842777,0.466835531,0.326586309,0.534084111,-0.720481516,0.37797342,0.461443105,-0.055067154,0
0.0,0.978906651,0.481231083,0.66848015,0.078513147,0.55725869,0.264510671,0.211107652,0.060866398,-0.82719734,0.162101634,-0.161109666,1.264506706,0.005988644,0
146.72,-0.156406015,-1.405492277,-1.088890247,-0.474417177,-0.494220916,1.52519648,0.252912868,-0.109893348,-0.724538967,0.696255808,-0.462013488,-0.076002726,-0.105558283,0
